67308440
43 Records exported
"CostBasis for Single Account as of 10:12PM ET, 08/17/2025"
Total Known Market Value,Total Known Cost Basis,Total Known Unrealized Gain(Loss)$/%, Short Term Unrealized Gain(Loss)$/%, Long Term Unrealized Gain(Loss)$/%
"$4,718,201.83","$1,489,675.48","$3,099,676.57/208.08%","($19,392.43)/(6.93%)","$3,119,069.07/257.79%"
Cost Basis - Unrealized Gain/(Loss)

Symbol,Name,Acquired/Opened,Quantity,Market Value,Cost Basis, Cost per Share,($)Unrealized Gain/(Loss),(%)Unrealized Gain/(Loss),Holding Period,Notes,Original Cost Basis,($)Original UGL Gain/Loss,(%)Original UGL Gain/Loss
OGN,ORGANON & CO,07/08/2020,0.74470,"$7.03","$27.81","$37.3439","($20.78)","(74.72%)",Long Term,,"","",""
OGN,ORGANON & CO,10/07/2020,0.73570,"$6.95","$28.02","$38.0862","($21.07)","(75.20%)",Long Term,,"","",""
OGN,ORGANON & CO,01/08/2021,0.76090,"$7.18","$30.09","$39.5453","($22.91)","(76.14%)",Long Term,,"","",""
OGN,ORGANON & CO,04/07/2021,0.83650,"$7.90","$30.32","$36.2463","($22.42)","(73.94%)",Long Term,,"","",""
OGN,ORGANON & CO,09/13/2021,0.81100,"$7.66","$27.44","$33.8348","($19.78)","(72.08%)",Long Term,,"","",""
OGN,ORGANON & CO,12/16/2021,0.91200,"$8.61","$27.67","$30.3399","($19.06)","(68.88%)",Long Term,,"","",""
OGN,ORGANON & CO,03/17/2022,0.83900,"$7.92","$27.92","$33.2777","($20.00)","(71.63%)",Long Term,,"","",""
OGN,ORGANON & CO,06/16/2022,0.85700,"$8.09","$28.16","$32.8588","($20.07)","(71.27%)",Long Term,,"","",""
OGN,ORGANON & CO,09/15/2022,0.98300,"$9.28","$28.40","$28.8911","($19.12)","(67.32%)",Long Term,,"","",""
OGN,ORGANON & CO,12/15/2022,1.01300,"$9.56","$28.67","$28.3021","($19.11)","(66.66%)",Long Term,,"","",""
OGN,ORGANON & CO,03/16/2023,1.34700,"$12.72","$28.96","$21.4996","($16.24)","(56.08%)",Long Term,,"","",""
OGN,ORGANON & CO,06/15/2023,1.42200,"$13.42","$29.33","$20.6259","($15.91)","(54.24%)",Long Term,,"","",""
OGN,ORGANON & CO,09/01/2023,49.92630,"$471.31","Missing","Missing","Missing","Missing",Long Term,,"","",""
OGN,ORGANON & CO,12/15/2023,2.29640,"$21.68","$29.73","$12.9464","($8.05)","(27.08%)",Long Term,,"","",""
OGN,ORGANON & CO,03/14/2024,1.66750,"$15.74","$30.37","$18.2129","($14.63)","(48.17%)",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,10/13/2008,99.25400,"$8,468.35","$2,694.10","$27.1435","$5,774.25","214.33%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,05/31/2011,1000.00000,"$85,320.00","$33,396.10","$33.3961","$51,923.90","155.48%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,06/30/2011,11.62600,"$991.93","$376.75","$32.4058","$615.18","163.29%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,09/30/2011,11.27500,"$961.98","$380.73","$33.7676","$581.25","152.67%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,12/30/2011,11.65100,"$994.06","$384.59","$33.0092","$609.47","158.47%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,03/30/2012,13.20800,"$1,126.91","$402.77","$30.4944","$724.14","179.79%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,06/29/2012,12.62400,"$1,077.08","$407.45","$32.2758","$669.63","164.35%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,09/28/2012,12.93500,"$1,103.61","$411.94","$31.8469","$691.67","167.91%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,12/31/2012,13.90800,"$1,186.63","$416.53","$29.9490","$770.10","184.88%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,03/28/2013,12.63800,"$1,078.27","$427.40","$33.8186","$650.87","152.29%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,06/28/2013,13.20400,"$1,126.57","$431.95","$32.7136","$694.62","160.81%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,09/30/2013,13.24700,"$1,130.23","$436.70","$32.9660","$693.53","158.81%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,12/31/2013,13.77000,"$1,174.86","$441.47","$32.0603","$733.39","166.12%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,03/31/2014,12.20700,"$1,041.50","$458.83","$37.5874","$582.67","126.99%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,06/30/2014,11.47300,"$978.88","$463.35","$40.3861","$515.53","111.26%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,09/30/2014,12.36200,"$1,054.73","$467.59","$37.8248","$587.14","125.57%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,12/31/2014,11.04500,"$942.36","$472.17","$42.7497","$470.19","99.58%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,03/31/2015,11.94700,"$1,019.32","$502.00","$42.0189","$517.32","103.05%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,06/30/2015,12.83600,"$1,095.17","$506.66","$39.4718","$588.51","116.15%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,09/30/2015,12.43700,"$1,061.12","$511.66","$41.1401","$549.46","107.39%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,12/31/2015,13.27600,"$1,132.71","$516.51","$38.9055","$616.20","119.30%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,03/31/2016,11.75200,"$1,002.68","$548.44","$46.6678","$454.24","82.82%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,06/30/2016,12.18000,"$1,039.20","$553.26","$45.4236","$485.94","87.83%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,09/30/2016,13.14500,"$1,121.53","$558.26","$42.4694","$563.27","100.90%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,04/01/2019,11.04400,"$942.27","$645.78","$58.4734","$296.49","45.91%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,07/01/2019,11.18100,"$953.96","$650.97","$58.2211","$302.99","46.54%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,10/01/2019,10.64300,"$908.06","$656.23","$61.6584","$251.83","38.38%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,01/02/2020,11.24700,"$959.59","$661.23","$58.7917","$298.36","45.12%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,04/01/2020,16.29200,"$1,390.03","$694.88","$42.6516","$695.15","100.04%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,07/01/2020,14.05500,"$1,199.17","$702.86","$50.0078","$496.31","70.61%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,09/30/2020,12.87900,"$1,098.84","$709.75","$55.1091","$389.09","54.82%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,12/31/2020,12.45600,"$1,062.75","$716.06","$57.4872","$346.69","48.42%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,03/31/2021,12.61300,"$1,076.14","$751.64","$59.5925","$324.50","43.17%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,06/30/2021,12.70300,"$1,083.82","$758.07","$59.6765","$325.75","42.97%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,09/30/2021,12.44900,"$1,062.15","$764.55","$61.4146","$297.60","38.92%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,12/31/2021,11.64500,"$993.55","$770.90","$66.2001","$222.65","28.88%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,03/31/2022,11.64000,"$993.12","$822.53","$70.6641","$170.59","20.74%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,06/30/2022,13.22100,"$1,128.02","$828.82","$62.6897","$299.20","36.10%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,09/30/2022,14.75500,"$1,258.90","$835.96","$56.6560","$422.94","50.59%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,12/30/2022,13.72800,"$1,171.27","$843.92","$61.4744","$327.35","38.79%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,03/31/2023,14.49100,"$1,236.37","$898.63","$62.0130","$337.74","37.58%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,06/30/2023,14.60100,"$1,245.76","$906.89","$62.1115","$338.87","37.37%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,10/02/2023,16.61290,"$1,417.41","$915.22","$55.0909","$502.19","54.87%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,01/02/2024,15.02980,"$1,282.34","$924.69","$61.5238","$357.65","38.68%",Long Term,,"","",""
PEG,PUBLIC SVC ENTERPRISE GR,04/02/2024,14.65210,"$1,250.12","$982.37","$67.0464","$267.75","27.26%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/19/2010,99.04500,"$15,288.59","$6,276.23","$63.3675","$9,012.36","143.60%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/03/2011,500.00000,"$77,180.00","$30,317.65","$60.6353","$46,862.35","154.57%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/15/2011,0.84900,"$131.05","$52.50","$61.8375","$78.55","149.62%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/15/2011,4.97700,"$768.25","$315.45","$63.3816","$452.80","143.54%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/15/2012,4.90100,"$756.52","$318.06","$64.8970","$438.46","137.85%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/15/2012,5.38300,"$830.92","$343.23","$63.7618","$487.69","142.09%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/15/2012,5.18100,"$799.74","$346.25","$66.8307","$453.49","130.97%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/15/2012,5.22800,"$806.99","$349.17","$66.7884","$457.82","131.12%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/15/2013,0.59000,"$91.07","$45.26","$76.7119","$45.81","101.22%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/15/2013,0.77300,"$119.32","$61.48","$79.5343","$57.84","94.08%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/15/2013,0.72700,"$112.22","$58.82","$80.9078","$53.40","90.79%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/15/2013,0.57700,"$89.07","$48.58","$84.1941","$40.49","83.35%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/18/2014,0.89100,"$137.53","$70.70","$79.3490","$66.83","94.53%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/15/2014,0.15200,"$23.46","$12.34","$81.1842","$11.12","90.11%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/15/2014,0.13200,"$20.38","$10.85","$82.1970","$9.53","87.83%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/17/2014,0.82500,"$127.35","$72.67","$88.0848","$54.68","75.24%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/17/2015,0.98200,"$151.58","$84.38","$85.9267","$67.20","79.64%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/15/2015,0.49200,"$75.95","$39.80","$80.8943","$36.15","90.83%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/17/2015,0.92100,"$142.17","$69.67","$75.6460","$72.50","104.06%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/16/2015,0.08500,"$13.12","$6.31","$74.2353","$6.81","107.92%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/16/2016,0.56900,"$87.83","$46.58","$81.8629","$41.25","88.56%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/16/2016,0.74300,"$114.69","$60.05","$80.8210","$54.64","90.99%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/15/2016,0.35000,"$54.03","$30.61","$87.4571","$23.42","76.51%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/15/2016,0.62700,"$96.78","$52.54","$83.7959","$44.24","84.20%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/16/2019,4.37000,"$674.55","$473.65","$108.3867","$200.90","42.42%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/16/2019,4.01600,"$619.91","$476.91","$118.7525","$143.00","29.98%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/18/2019,3.93300,"$607.10","$479.90","$122.0188","$127.20","26.51%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/19/2020,3.82900,"$591.04","$482.84","$126.1008","$108.20","22.41%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/18/2020,4.44200,"$685.67","$514.86","$115.9072","$170.81","33.18%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/18/2020,3.79100,"$585.18","$518.38","$136.7396","$66.80","12.89%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/16/2020,3.64200,"$562.18","$521.37","$143.1549","$40.81","7.83%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/16/2021,4.11500,"$635.19","$524.25","$127.3998","$110.94","21.16%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/17/2021,4.19600,"$647.69","$580.28","$138.2936","$67.41","11.62%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/16/2021,4.05000,"$625.16","$583.93","$144.1802","$41.23","7.06%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/15/2021,3.98900,"$615.74","$587.45","$147.2675","$28.29","4.82%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/15/2022,3.73500,"$576.53","$590.92","$158.2115","($14.39)","(2.44%)",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/16/2022,4.07000,"$628.25","$623.88","$153.2875","$4.37","0.70%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/15/2022,4.23500,"$653.71","$627.60","$148.1936","$26.11","4.16%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/15/2022,4.45400,"$687.52","$631.47","$141.7759","$56.05","8.88%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/15/2023,4.59000,"$708.51","$635.54","$138.4619","$72.97","11.48%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/15/2023,4.23700,"$654.02","$658.92","$155.5157","($4.90)","(0.74%)",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,08/15/2023,4.26800,"$658.81","$662.91","$155.3210","($4.10)","(0.62%)",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,11/16/2023,4.37190,"$674.85","$666.92","$152.5469","$7.93","1.19%",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,02/16/2024,4.24960,"$655.97","$671.03","$157.9043","($15.06)","(2.24%)",Long Term,,"","",""
PG,PROCTER & GAMBLE CO,05/15/2024,4.35140,"$671.68","$722.25","$165.9811","($50.57)","(7.00%)",Long Term,,"","",""
PTA,COHEN STEERS TAX ADV PRD,05/29/2024,423.00000,"$8,434.62","$8,099.29","$19.1473","$335.33","4.14%",Long Term,,"","",""
QCOM,QUALCOMM INC,10/22/1998,499.59600,"$78,861.23","$1,577.39","$3.1573","$77,283.84","4899.48%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/24/2011,0.96300,"$152.01","$49.92","$51.8380","$102.09","204.51%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/23/2011,0.17700,"$27.94","$8.25","$46.6102","$19.69","238.67%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/23/2012,0.63700,"$100.55","$40.48","$63.5479","$60.07","148.39%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/20/2012,2.21900,"$350.27","$120.42","$54.2677","$229.85","190.87%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/26/2012,0.03400,"$5.37","$2.03","$59.7059","$3.34","164.53%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/21/2012,0.06600,"$10.42","$3.90","$59.0909","$6.52","167.18%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/27/2013,0.94100,"$148.54","$59.55","$63.2837","$88.99","149.44%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/26/2013,0.88600,"$139.86","$52.84","$59.6388","$87.02","164.69%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/25/2013,0.65500,"$103.39","$42.88","$65.4656","$60.51","141.11%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/19/2013,0.49300,"$77.82","$34.65","$70.2840","$43.17","124.59%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/26/2014,0.32200,"$50.83","$24.49","$76.0559","$26.34","107.55%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/25/2014,0.82100,"$129.59","$61.94","$75.4446","$67.65","109.22%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/24/2014,0.93800,"$148.06","$68.21","$72.7186","$79.85","117.06%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/18/2014,0.05200,"$8.21","$3.66","$70.3846","$4.55","124.32%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/25/2015,0.26500,"$41.83","$17.46","$65.8868","$24.37","139.58%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/24/2015,0.85900,"$135.59","$55.01","$64.0396","$80.58","146.48%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/23/2015,0.81000,"$127.86","$41.45","$51.1728","$86.41","208.47%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/18/2015,5.56300,"$878.12","$246.26","$44.2675","$631.86","256.58%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/23/2016,5.09000,"$803.46","$250.32","$49.1788","$553.14","220.97%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/22/2016,0.48500,"$76.56","$24.72","$50.9691","$51.84","209.71%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/21/2016,0.73100,"$115.39","$43.98","$60.1642","$71.41","162.37%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/16/2016,0.39700,"$62.67","$25.97","$65.4156","$36.70","141.32%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/29/2019,5.67200,"$895.33","$324.26","$57.1685","$571.07","176.11%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/28/2019,4.34900,"$686.49","$327.78","$75.3691","$358.71","109.44%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/27/2019,4.25200,"$671.18","$330.47","$77.7211","$340.71","103.10%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/20/2019,3.75300,"$592.41","$333.11","$88.7583","$259.30","77.84%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/27/2020,4.99800,"$788.93","$335.44","$67.1148","$453.49","135.19%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/26/2020,4.02000,"$634.56","$354.92","$88.2886","$279.64","78.79%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/24/2020,3.20400,"$505.75","$357.53","$111.5886","$148.22","41.46%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/17/2020,2.41100,"$380.58","$359.61","$149.1539","$20.97","5.83%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/25/2021,2.86200,"$451.77","$361.18","$126.1985","$90.59","25.08%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/24/2021,2.75900,"$435.51","$379.79","$137.6549","$55.72","14.67%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/23/2021,2.83800,"$447.98","$381.67","$134.4856","$66.31","17.37%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/16/2021,2.06400,"$325.80","$383.60","$185.8527","($57.80)","(15.07%)",Long Term,,"","",""
QCOM,QUALCOMM INC,03/24/2022,2.47400,"$390.52","$385.00","$155.6184","$5.52","1.43%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/23/2022,3.52200,"$555.95","$426.49","$121.0931","$129.46","30.35%",Long Term,,"","",""
QCOM,QUALCOMM INC,09/22/2022,3.48300,"$549.79","$429.13","$123.2070","$120.66","28.12%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/15/2022,3.67600,"$580.26","$431.75","$117.4510","$148.51","34.40%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/23/2023,3.47100,"$547.90","$434.50","$125.1801","$113.40","26.10%",Long Term,,"","",""
QCOM,QUALCOMM INC,06/22/2023,4.02400,"$635.19","$466.25","$115.8673","$168.94","36.23%",Long Term,,"","",""
QCOM,QUALCOMM INC,12/15/2023,3.28790,"$519.00","$469.47","$142.7872","$49.53","10.55%",Long Term,,"","",""
QCOM,QUALCOMM INC,03/21/2024,2.76050,"$435.74","$472.10","$171.0197","($36.36)","(7.70%)",Long Term,,"","",""
RIV/PRA,RIVERNORTH OPPTY  6% PFDPFD SER A,10/08/2024,400.00000,"$9,160.00","$9,740.00","$24.3500","($580.00)","(5.95%)",313 days,,"","",""
SPY,SPDR S&P 500 ETF,09/01/2009,10.70700,"$6,889.31","$1,098.30","$102.5778","$5,791.01","527.27%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,10/01/2009,10.00000,"$6,434.40","$1,061.54","$106.1540","$5,372.86","506.14%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,10/26/2009,9.00000,"$5,790.96","$988.76","$109.8622","$4,802.20","485.68%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,10/30/2009,10.00000,"$6,434.40","$1,067.25","$106.7250","$5,367.15","502.90%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,11/19/2009,9.00000,"$5,790.96","$1,011.17","$112.3522","$4,779.79","472.70%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,11/27/2009,18.00000,"$11,581.92","$1,988.03","$110.4461","$9,593.89","482.58%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,01/20/2010,9.00000,"$5,790.96","$1,046.45","$116.2722","$4,744.51","453.39%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,01/21/2010,18.00000,"$11,581.92","$2,038.79","$113.2661","$9,543.13","468.08%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,02/04/2010,9.00000,"$5,790.96","$994.79","$110.5322","$4,796.17","482.13%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,02/05/2010,19.00000,"$12,225.36","$2,019.00","$106.2632","$10,206.36","505.52%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,02/25/2010,9.00000,"$5,790.96","$1,016.12","$112.9022","$4,774.84","469.91%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,04/16/2010,17.00000,"$10,938.48","$2,049.64","$120.5671","$8,888.84","433.68%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,04/27/2010,8.00000,"$5,147.52","$980.55","$122.5688","$4,166.97","424.96%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,04/30/2010,9.00000,"$5,790.96","$1,096.31","$121.8122","$4,694.65","428.22%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,05/04/2010,17.00000,"$10,938.48","$2,024.49","$119.0876","$8,913.99","440.31%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,05/06/2010,18.00000,"$11,581.92","$2,042.03","$113.4461","$9,539.89","467.18%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,05/14/2010,18.00000,"$11,581.92","$2,081.81","$115.6561","$9,500.11","456.34%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,05/20/2010,10.00000,"$6,434.40","$1,108.95","$110.8950","$5,325.45","480.22%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,05/25/2010,19.00000,"$12,225.36","$2,018.24","$106.2232","$10,207.12","505.74%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,06/04/2010,18.00000,"$11,581.92","$1,974.53","$109.6961","$9,607.39","486.57%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,06/29/2010,19.00000,"$12,225.36","$2,025.65","$106.6132","$10,199.71","503.53%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,07/16/2010,18.00000,"$11,581.92","$1,948.98","$108.2767","$9,632.94","494.26%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,07/16/2010,9.00000,"$5,790.96","$966.95","$107.4389","$4,824.01","498.89%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,08/11/2010,18.00000,"$11,581.92","$2,009.63","$111.6461","$9,572.29","476.32%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,08/19/2010,9.00000,"$5,790.96","$998.66","$110.9622","$4,792.30","479.87%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,10/19/2010,17.00000,"$10,938.48","$2,005.28","$117.9576","$8,933.20","445.48%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,11/12/2010,9.00000,"$5,790.96","$1,107.55","$123.0611","$4,683.41","422.86%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,11/16/2010,9.00000,"$5,790.96","$1,088.47","$120.9411","$4,702.49","432.03%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,03/07/2011,19.00000,"$12,225.36","$2,509.96","$132.1032","$9,715.40","387.07%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,03/15/2011,19.00000,"$12,225.36","$2,435.86","$128.2032","$9,789.50","401.89%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,03/16/2011,20.00000,"$12,868.80","$2,559.75","$127.9875","$10,309.05","402.74%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,04/12/2011,19.00000,"$12,225.36","$2,525.54","$132.9232","$9,699.82","384.07%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,05/11/2011,19.00000,"$12,225.36","$2,549.23","$134.1700","$9,676.13","379.57%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,06/01/2011,19.00000,"$12,225.36","$2,538.02","$133.5800","$9,687.34","381.69%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,06/01/2011,19.00000,"$12,225.36","$2,504.96","$131.8400","$9,720.40","388.05%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,06/10/2011,20.00000,"$12,868.80","$2,558.00","$127.9000","$10,310.80","403.08%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,06/15/2011,20.00000,"$12,868.80","$2,544.00","$127.2000","$10,324.80","405.85%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,06/23/2011,20.00000,"$12,868.80","$2,531.60","$126.5800","$10,337.20","408.33%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,07/08/2011,19.00000,"$12,225.36","$2,541.63","$133.7700","$9,683.73","381.00%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,07/11/2011,19.00000,"$12,225.36","$2,509.90","$132.1000","$9,715.46","387.09%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,07/18/2011,20.00000,"$12,868.80","$2,604.00","$130.2000","$10,264.80","394.19%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,07/27/2011,19.00000,"$12,225.36","$2,499.83","$131.5700","$9,725.53","389.05%",Long Term,,"","",""
SPY,SPDR S&P 500 ETF,07/29/2011,4.37300,"$2,813.76","$563.60","$128.8818","$2,250.16","399.25%",Long Term,,"","",""
